env,actors,run,display,avg_sp,avg_rx,avg_cum_rx,avg_cum_sp
SCEnv,2actor,run2,SC-2Actor (run2),67.00675,0.29637500000000006,54.862375000000014,9852.65925
TCEnv,2actor,run2,TC-2Actor (run2),84.14639344262295,0.1680327868852459,28.532131147540987,8556.281311475406
SCEnv,2actor,run1,SC-2Actor (run1),33.78275,0.336625,62.444500000000005,5689.057249999999
TCEnv,2actor,run1,TC-2Actor (run1),68.420875,0.27399999999999997,48.9385,9343.635125000003
SCEnv,2actor,run3,SC-2Actor (run3),23.497374999999998,0.4265,77.67725000000002,4782.844374999999
TCEnv,2actor,run3,TC-2Actor (run3),34.274499999999996,0.322125,60.27450000000001,6044.347250000001
SCEnv,1actor,run2,SC-HO-MAPPO (run2),83.430125,0.17600000000000002,35.94149999999999,11618.001875000002
TCEnv,1actor,run2,TC-HO-MAPPO (run2),113.07075,0.14475000000000002,26.36687499999999,15521.370250000004
SCEnv,1actor,run1,SC-HO-MAPPO (run1),61.501999999999995,0.2065,44.685874999999996,9243.626625
TCEnv,1actor,run1,TC-HO-MAPPO (run1),86.68887500000001,0.20712499999999998,39.584500000000055,12139.357749999997
SCEnv,1actor,run3,SC-HO-MAPPO (run3),42.461000000000006,0.26775,50.39574999999999,7086.33125
TCEnv,1actor,run3,TC-HO-MAPPO (run3),67.59624183006537,0.1929738562091503,25.89264705882352,7439.0939542483675
